id,name,genre,artists,album,popularity,duration_ms,explicit,track_name_raw,artist_name_raw,track_name_norm,artist_name_norm,track_artist_key
2b1SITDq0gV3KrF9U8bpoR,Garage Partu,garage,DJ ARI ARI,Garage Partu,26,125707,False,Garage Partu,DJ ARI ARI,garage partu,dj ari ari,garage partu | dj ari ari
2HEdnCGYrHfgFwGMCsTjGW,Garage,garage,"El Ray, Skrizzly Adams",Garage,26,139818,False,Garage,"El Ray, Skrizzly Adams",garage,el ray skrizzly adams,garage | el ray skrizzly adams
0buOF1gvLBupoSZSaycYWD,Garage Room Freestyle (Reel It In),garage,Number9ok,Garage Room Freestyle (Reel It In),23,74213,True,Garage Room Freestyle (Reel It In),Number9ok,garage room freestyle reel it in,number9ok,garage room freestyle reel it in | number9ok
40qeHpvxoNh3qfQNJwcLux,Garage,garage,LarryBurdd,Garage,22,155876,True,Garage,LarryBurdd,garage,larryburdd,garage | larryburdd
4FmwkOBarXKN7S0JIs2EOO,Garage,garage,Big Smack,Garage,14,214218,False,Garage,Big Smack,garage,big smack,garage | big smack
4P5Rntc1SI0IGeqlrWJQCq,Garage Girls - Sunship Radio Edit,garage,"Lonyo, Sunship",Garage Girls,41,200333,False,Garage Girls - Sunship Radio Edit,"Lonyo, Sunship",garage girls sunship radio edit,lonyo sunship,garage girls sunship radio edit | lonyo sunship
3F1QRLQSXE6PUrlJj2lpZh,Garage17,garage,No Mana,I Contain Flashing Images,29,298124,False,Garage17,No Mana,garage17,no mana,garage17 | no mana
0rnF9FuqDbZgw8OcCOvA6b,Garage Liddiard,garage,King Gizzard & The Lizard Wizard,12 Bar Bruise,18,149373,False,Garage Liddiard,King Gizzard & The Lizard Wizard,garage liddiard,king gizzard the lizard wizard,garage liddiard | king gizzard the lizard wizard
4cN5eOJdgLpYypijDWyeoP,Garage,garage,Bilmuri,Bilmuri,19,170777,False,Garage,Bilmuri,garage,bilmuri,garage | bilmuri
0zRsYMipqgzvSe2rvNt9uH,Garageland - Remastered,garage,The Clash,The Clash (Remastered),28,194160,False,Garageland - Remastered,The Clash,garageland,the clash,garageland | the clash
0VrrcJCTcTJboKqtcyZ72w,Garage,garage,"Jass Manak, Avvy Sra",Garage,40,153230,False,Garage,"Jass Manak, Avvy Sra",garage,jass manak avvy sra,garage | jass manak avvy sra
3NnaYEFBpewd8FI3yxuxWB,Garage Music,garage,Bill Howard,Feeling of Smoke,17,91689,False,Garage Music,Bill Howard,garage music,bill howard,garage music | bill howard
4ZxZawSz2KHQYgqWgUuJld,Garage,garage,Ruairidh Hastings,Garage,10,110117,False,Garage,Ruairidh Hastings,garage,ruairidh hastings,garage | ruairidh hastings
287tCbPFCPFIFhUyIGBd5O,Blood,garage,"Garagee, Steve Kilbey",Blood,11,304103,False,Blood,"Garagee, Steve Kilbey",blood,garagee steve kilbey,blood | garagee steve kilbey
5Qq5hZVtezixlTY3xnHoPH,Garage,garage,SAFAR,Garage,16,199578,False,Garage,SAFAR,garage,safar,garage | safar
5CPqP6scASssXqYb2HgTxd,Garage Fuzz,garage,Unit 51,Garage Fuzz,21,192497,False,Garage Fuzz,Unit 51,garage fuzz,unit 51,garage fuzz | unit 51
5dUJxCMhKoK9yRWgqnDBV9,Garage,garage,Frizzy P & Mr Cole,The Backroom Tape,19,147566,False,Garage,Frizzy P & Mr Cole,garage,frizzy p mr cole,garage | frizzy p mr cole
6pPemvOZVKzGXHAVjGjanS,Garage Talk,garage,"Wiz Khalifa, Curren$y",2009,22,176884,True,Garage Talk,"Wiz Khalifa, Curren$y",garage talk,wiz khalifa curreny,garage talk | wiz khalifa curreny
0eNj9SZHvD2kItj3BTOTrl,Garage Door,garage,"Sunrise Skater Kids, JB Brubaker",Friendville,18,243376,False,Garage Door,"Sunrise Skater Kids, JB Brubaker",garage door,sunrise skater kids jb brubaker,garage door | sunrise skater kids jb brubaker
0E6WqBDnyCoA380YX7ovkq,garage,garage,Games roof,cent,5,81826,False,garage,Games roof,garage,games roof,garage | games roof
5k5i7lPO2NF1Ank87TD1L3,Easy - Garage Mix,garage,Jess Glynne,Easy (Remixes),24,169205,True,Easy - Garage Mix,Jess Glynne,easy garage mix,jess glynne,easy garage mix | jess glynne
7aoGdtMsGmqnswMcGL1QQw,Garage Truck,garage,Feelrs,Garage Truck,14,73366,False,Garage Truck,Feelrs,garage truck,feelrs,garage truck | feelrs
5QB4D1NJl4fPDpW5ludlQS,Garage,garage,Getrichzay,GTA 6: Jubille Lane,4,160104,True,Garage,Getrichzay,garage,getrichzay,garage | getrichzay
5tDxLjAnkojfnXnjOk6mvh,Like Crazy (UK Garage Remix),garage,Jimin,Like Crazy (Remixes),58,210395,False,Like Crazy (UK Garage Remix),Jimin,like crazy uk garage remix,jimin,like crazy uk garage remix | jimin
1lpM8oEOriZH2rTGLJ6ofV,OFF THE BOAT,garage,GARAGE GARBAGE,OFF THE BOAT,9,190153,True,OFF THE BOAT,GARAGE GARBAGE,off the boat,garage garbage,off the boat | garage garbage
