genre_bucket,historical_genre_revival_count,historical_genre_revival_percentage,revived_title_count,avg_revival_strength,median_revival_strength,avg_time_span,avg_decades_count,max_revival_strength
Blues,1127,3.15,693,9.384381436439787,6.802394763324311,21.506493506493506,2.3333333333333335,69.2917334445813
Classical/Opera/Orchestral,2657,7.09,2828,14.13831344911589,7.193685818395112,27.833451202263085,2.566124469589816,295.37876868605053
Country,2280,6.39,1521,11.438114105990243,7.902487437162855,23.003944773175544,2.42603550295858,299.57322735539907
Electronic/Dance,1024,2.87,481,9.059261187865184,6.734591659972948,21.442827442827443,2.3471933471933473,89.32974623202122
Folk/Bluegrass,515,1.4000000000000001,343,7.889644363857544,6.182084906716632,24.994169096209912,2.2565597667638486,47.6263013996854
Gospel/Christian,2979,8.31,1779,12.712280670924851,7.694848072384611,23.924676784710513,2.5143338954468804,254.2814953528295
Hip-Hop/Rap,563,1.54,209,8.921014069583656,6.3561076606958915,18.196172248803826,2.2583732057416266,58.056805542509586
Holiday/Children/Novelty,454,1.25,392,13.627652049881576,7.72134861261795,29.339285714285715,2.607142857142857,308.9046579722771
Jazz,4872,13.65,2814,12.660591597436484,7.902487437162855,26.510660980810236,2.550106609808102,150.14726130609424
Other,5388,12.99,3423,10.031770826378443,6.591673732008658,25.71603856266433,2.3453111305872043,259.5709828212308
Popular/Pop,6022,16.89,3565,13.958951483769779,7.694848072384611,25.775596072931275,2.5049088359046285,323.2441329952328
R&B/Soul/Funk,445,1.26,87,8.292098142225568,6.591673732008658,19.71264367816092,2.1724137931034484,37.61200115693563
Reggae,332,0.95,93,7.5550438766452706,5.8888779583328805,19.93548387096774,2.172043010752688,40.31231241714096
Rock,6405,17.94,3179,12.96943351724324,8.317766166719343,21.547971060081785,2.492922302610884,322.51670446104987
Soundtrack/Stage/Screen,591,1.64,416,10.049475896029843,7.110696122978827,26.78125,2.4302884615384617,79.60344009850208
